Provider ID,Hospital Name,City,State,County Name,Survey Response Rate Percent,Patient Survey Star Rating
50704,MISSION COMMUNITY HOSPITAL,PANORAMA CITY,CA,LOS ANGELES,18.0,1.0
50517,VICTOR VALLEY GLOBAL MEDICAL CENTER,VICTORVILLE,CA,SAN BERNARDINO,17.0,1.0
50742,OLYMPIA MEDICAL CENTER,LOS ANGELES,CA,LOS ANGELES,16.0,1.0
50390,HEMET VALLEY MEDICAL CENTER,HEMET,CA,RIVERSIDE,15.0,1.0
50468,MEMORIAL HOSPITAL OF GARDENA,GARDENA,CA,LOS ANGELES,15.0,1.0
50663,LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES,CA,LOS ANGELES,15.0,1.0
50780,FOOTHILL REGIONAL MEDICAL CENTER,TUSTIN,CA,ORANGE,15.0,1.0
50526,HUNTINGTON BEACH HOSPITAL,HUNTINGTON BEACH,CA,ORANGE,14.0,1.0
50771,COAST PLAZA HOSPITAL,NORWALK,CA,LOS ANGELES,13.0,1.0
50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,HOLLYWOOD,CA,LOS ANGELES,12.0,1.0
