County Name,City,Hospital Name,Patient Survey Star Rating
ETOWAH,GADSDEN,RIVERVIEW REGIONAL MEDICAL CENTER,4.0
ETOWAH,GADSDEN,GADSDEN REGIONAL MEDICAL CENTER,3.0
FAIRBANKS NORTH STAR,FAIRBANKS,FAIRBANKS MEMORIAL HOSPITAL,3.0
FAIRFIELD,BRIDGEPORT,BRIDGEPORT HOSPITAL,3.0
FAIRFIELD,STAMFORD,STAMFORD HOSPITAL,4.0
FAULKNER,CONWAY,BAPTIST HEALTH MEDICAL CENTER-CONWAY,4.0
FAULKNER,CONWAY,CONWAY REGIONAL MEDICAL CENTER,4.0
FAYETTE,FAYETTE,FAYETTE MEDICAL CENTER,5.0
FAYETTE,WINFIELD,NORTHWEST MEDICAL CENTER,4.0
FRANKLIN,RUSSELLVILLE,RUSSELLVILLE HOSPITAL,3.0
FREMONT,CANON CITY,CENTURA HEALTH-ST THOMAS MORE HOSPITAL,3.0
FRESNO,CLOVIS,CLOVIS COMMUNITY MEDICAL CENTER,4.0
FRESNO,FRESNO,FRESNO SURGICAL HOSPITAL,5.0
FRESNO,FRESNO,KAISER FOUNDATION HOSPITAL - FRESNO,4.0
FRESNO,FRESNO,COMMUNITY REGIONAL MEDICAL CENTER,3.0
FRESNO,FRESNO,SAINT AGNES MEDICAL CENTER,3.0
FRESNO,REEDLEY,ADVENTIST HEALTH REEDLEY,3.0
FULTON,SALEM,FULTON COUNTY HOSPITAL,4.0
GARFIELD,GLENWOOD SPRINGS,VALLEY VIEW HOSPITAL ASSOCIATION,4.0
GARFIELD,RIFLE,GRAND RIVER MEDICAL CENTER,4.0
GARLAND,HOT SPRINGS,CHI ST. VINCENT HOSPITAL HOT SPRINGS,3.0
GARLAND,HOT SPRINGS,NATIONAL PARK MEDICAL CENTER,2.0
GENEVA,GENEVA,WIREGRASS MEDICAL CENTER,3.0
GILA,GLOBE,COBRE VALLEY REGIONAL MEDICAL CENTER,3.0
GRAHAM,SAFFORD,MT. GRAHAM REGIONAL MEDICAL CENTER,4.0
GREENE,PARAGOULD,ARKANSAS METHODIST MEDICAL CENTER,3.0
GUNNISON,GUNNISON,GUNNISON VALLEY HOSPITAL,4.0
HARTFORD,HARTFORD,ST FRANCIS HOSPITAL & MEDICAL CENTER,4.0
HEMPSTEAD,HOPE,WADLEY REGIONAL MEDICAL CENTER AT HOPE,3.0
HOT SPRING,MALVERN,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,4.0
HOUSTON,DOTHAN,FLOWERS HOSPITAL,4.0
HOUSTON,DOTHAN,SOUTHEAST ALABAMA MEDICAL CENTER,2.0
HOWARD,NASHVILLE,HOWARD MEMORIAL HOSPITAL,5.0
HUMBOLDT,ARCATA,MAD RIVER COMMUNITY HOSPITAL,3.0
HUMBOLDT,EUREKA,ST JOSEPH HOSPITAL,2.0
HUMBOLDT,FORTUNA,REDWOOD MEMORIAL HOSPITAL,3.0
IMPERIAL,BRAWLEY,PIONEERS MEMORIAL HEALTHCARE DISTRICT,2.0
IMPERIAL,EL CENTRO,EL CENTRO REGIONAL MEDICAL CENTER,2.0
INDEPENDENCE,BATESVILLE,WHITE RIVER MEDICAL CENTER,3.0
INYO,BISHOP,NORTHERN INYO HOSPITAL,4.0
JACKSON,SCOTTSBORO,HIGHLANDS MEDICAL CENTER,2.0
JEFFERSON,BESSEMER,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",3.0
JEFFERSON,BIRMINGHAM,GRANDVIEW MEDICAL CENTER,4.0
JEFFERSON,BIRMINGHAM,ST VINCENT'S BIRMINGHAM,4.0
JEFFERSON,BIRMINGHAM,UNIVERSITY OF ALABAMA HOSPITAL,4.0
JEFFERSON,BIRMINGHAM,BROOKWOOD BAPTIST MEDICAL CENTER,3.0
JEFFERSON,BIRMINGHAM,PRINCETON BAPTIST MEDICAL CENTER,3.0
JEFFERSON,BIRMINGHAM,ST VINCENT'S EAST,3.0
JEFFERSON,LAKEWOOD,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,5.0
JEFFERSON,LAKEWOOD,CENTURA HEALTH-ST ANTHONY HOSPITAL,4.0
JEFFERSON,PINE BLUFF,JEFFERSON REGIONAL MEDICAL CENTER,3.0
JEFFERSON,WHEAT RIDGE,LUTHERAN MEDICAL CENTER,4.0
JOHNSON,CLARKSVILLE,JOHNSON REGIONAL MEDICAL CENTER,4.0
JUNEAU,JUNEAU,BARTLETT REGIONAL HOSPITAL,4.0
KENAI PENINSULA,HOMER,SOUTH PENINSULA HOSPITAL,4.0
KENAI PENINSULA,SOLDOTNA,CENTRAL PENINSULA GENERAL HOSPITAL,4.0
KERN,BAKERSFIELD,BAKERSFIELD HEART HOSPITAL,4.0
KERN,BAKERSFIELD,BAKERSFIELD MEMORIAL HOSPITAL,4.0
KERN,BAKERSFIELD,ADVENTIST HEALTH BAKERSFIELD,3.0
KERN,BAKERSFIELD,KERN MEDICAL CENTER,3.0
KERN,BAKERSFIELD,MERCY HOSPITAL,3.0
KERN,BAKERSFIELD,GOOD SAMARITAN HOSPITAL,2.0
KERN,DELANO,DELANO REGIONAL MEDICAL CENTER,2.0
KETCHIKAN GATEWAY,KETCHIKAN,KETCHIKAN MEDICAL CENTER,4.0
KINGS,HANFORD,ADVENTIST HEALTH HANFORD,3.0
LA PLATA,DURANGO,"ANIMAS SURGICAL HOSPITAL, LLC",5.0
LA PLATA,DURANGO,MERCY REGIONAL MEDICAL CENTER,4.0
LAKE,CLEARLAKE,ADVENTIST HEALTH CLEARLAKE,3.0
LAKE,LAKEPORT,SUTTER LAKESIDE HOSPITAL,4.0
LAPAZ,PARKER,LA PAZ REGIONAL HOSPITAL,3.0
LARIMER,FORT COLLINS,BANNER FORT COLLINS MEDICAL CENTER,4.0
LARIMER,FORT COLLINS,POUDRE VALLEY HOSPITAL,4.0
LARIMER,LOVELAND,MCKEE MEDICAL CENTER,4.0
LARIMER,LOVELAND,MEDICAL CENTER OF THE ROCKIES,4.0
LASSEN,SUSANVILLE,BANNER LASSEN MEDICAL CENTER,4.0
LAUDERDALE,FLORENCE,ELIZA COFFEE MEMORIAL HOSPITAL,2.0
LEE,OPELIKA,EAST ALABAMA MEDICAL CENTER,4.0
LIMESTONE,ATHENS,ATHENS LIMESTONE HOSPITAL,3.0
LITCHFIELD,SHARON,SHARON HOSPITAL,4.0
LITCHFIELD,TORRINGTON,CHARLOTTE HUNGERFORD HOSPITAL,2.0
LOGAN,STERLING,STERLING REGIONAL MEDCENTER,4.0
LOS ANGELES,ALHAMBRA,ALHAMBRA HOSPITAL MEDICAL CENTER,2.0
LOS ANGELES,ARCADIA,METHODIST HOSPITAL OF SOUTHERN CA,4.0
LOS ANGELES,BALDWIN PARK,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,4.0
LOS ANGELES,BURBANK,PROVIDENCE SAINT JOSEPH MEDICAL CTR,4.0
LOS ANGELES,COVINA,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,3.0
LOS ANGELES,DOWNEY,KAISER FOUNDATION HOSPITAL - DOWNEY,4.0
LOS ANGELES,DOWNEY,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,4.0
LOS ANGELES,DOWNEY,PIH HOSPITAL - DOWNEY,3.0
LOS ANGELES,GARDENA,MEMORIAL HOSPITAL OF GARDENA,1.0
LOS ANGELES,GLENDALE,GLENDALE ADVENTIST MEDICAL CENTER,4.0
LOS ANGELES,GLENDALE,GLENDALE MEM HOSPITAL & HLTH CENTER,3.0
LOS ANGELES,GLENDALE,USC VERDUGO HILLS HOSPITAL,3.0
LOS ANGELES,GLENDORA,FOOTHILL PRESBYTERIAN HOSPITAL,3.0
LOS ANGELES,HARBOR CITY,KAISER FOUNDATION HOSPITAL - SOUTH BAY,4.0
LOS ANGELES,HOLLYWOOD,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,1.0
LOS ANGELES,HUNTINGTON PARK,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2.0
LOS ANGELES,INGLEWOOD,CENTINELA HOSPITAL MEDICAL CENTER,3.0
LOS ANGELES,LAKEWOOD,LAKEWOOD REGIONAL MEDICAL CENTER,3.0
LOS ANGELES,LANCASTER,ANTELOPE VALLEY HOSPITAL,2.0
LOS ANGELES,LONG BEACH,LONG BEACH MEMORIAL MEDICAL CENTER,4.0
LOS ANGELES,LONG BEACH,ST MARY MEDICAL CENTER,3.0
LOS ANGELES,LONG BEACH,COMMUNITY HOSPITAL OF LONG BEACH,2.0
LOS ANGELES,LOS ANGELES,RONALD REAGAN U C L A MEDICAL CENTER,5.0
LOS ANGELES,LOS ANGELES,CEDARS-SINAI MEDICAL CENTER,4.0
LOS ANGELES,LOS ANGELES,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4.0
LOS ANGELES,LOS ANGELES,KECK HOSPITAL OF USC,4.0
LOS ANGELES,LOS ANGELES,LAC+USC MEDICAL CENTER,4.0
LOS ANGELES,LOS ANGELES,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",4.0
LOS ANGELES,LOS ANGELES,CALIFORNIA HOSPITAL MEDICAL CENTER LA,3.0
LOS ANGELES,LOS ANGELES,EAST LOS ANGELES DOCTORS HOSPITAL,3.0
LOS ANGELES,LOS ANGELES,GOOD SAMARITAN HOSPITAL,3.0
LOS ANGELES,LOS ANGELES,KAISER FOUNDATION HOSPITAL - WEST LA,3.0
LOS ANGELES,LOS ANGELES,WHITE MEMORIAL MEDICAL CENTER,3.0
LOS ANGELES,LOS ANGELES,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,2.0
LOS ANGELES,LOS ANGELES,SAINT VINCENT MEDICAL CENTER,2.0
LOS ANGELES,LOS ANGELES,LOS ANGELES COMMUNITY HOSPITAL,1.0
LOS ANGELES,LOS ANGELES,OLYMPIA MEDICAL CENTER,1.0
LOS ANGELES,LYNWOOD,SAINT FRANCIS MEDICAL CENTER,2.0
LOS ANGELES,MARINA DEL REY,MARINA DEL REY HOSPITAL,3.0
LOS ANGELES,MISSION HILLS,PROVIDENCE HOLY CROSS MEDICAL CENTER,4.0
LOS ANGELES,MONTEBELLO,BEVERLY HOSPITAL,2.0
LOS ANGELES,MONTEREY PARK,GARFIELD MEDICAL CENTER,3.0
LOS ANGELES,MONTEREY PARK,MONTEREY PARK HOSPITAL,3.0
LOS ANGELES,NORTHRIDGE,NORTHRIDGE HOSPITAL MEDICAL CENTER,4.0
LOS ANGELES,NORWALK,COAST PLAZA HOSPITAL,1.0
LOS ANGELES,PALMDALE,PALMDALE REGIONAL MEDICAL CENTER,4.0
LOS ANGELES,PANORAMA CITY,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,4.0
LOS ANGELES,PANORAMA CITY,MISSION COMMUNITY HOSPITAL,1.0
LOS ANGELES,PASADENA,HUNTINGTON MEMORIAL HOSPITAL,4.0
LOS ANGELES,POMONA,CASA COLINA HOSPITAL,5.0
LOS ANGELES,POMONA,POMONA VALLEY HOSPITAL MEDICAL CENTER,3.0
LOS ANGELES,SAN DIMAS,SAN DIMAS COMMUNITY HOSPITAL,3.0
LOS ANGELES,SAN GABRIEL,SAN GABRIEL VALLEY MEDICAL CENTER,3.0
LOS ANGELES,SAN PEDRO,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,4.0
LOS ANGELES,SANTA MONICA,PROVIDENCE SAINT JOHN'S HEALTH CENTER,4.0
LOS ANGELES,SANTA MONICA,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,4.0
LOS ANGELES,SHERMAN OAKS,SHERMAN OAKS HOSPITAL,2.0
LOS ANGELES,SOUTH EL MONTE,GREATER EL MONTE COMMUNITY HOSPITAL,3.0
LOS ANGELES,SUN VALLEY,PACIFICA HOSPITAL OF THE VALLEY,1.0
LOS ANGELES,SYLMAR,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,4.0
LOS ANGELES,TARZANA,PROVIDENCE TARZANA MEDICAL CENTER,3.0
LOS ANGELES,TORRANCE,TORRANCE MEMORIAL MEDICAL CENTER,5.0
LOS ANGELES,TORRANCE,LAC/HARBOR-UCLA MED CENTER,4.0
LOS ANGELES,TORRANCE,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,4.0
LOS ANGELES,VALENCIA,HENRY MAYO NEWHALL  HOSPITAL,4.0
LOS ANGELES,VAN NUYS,VALLEY PRESBYTERIAN HOSPITAL,3.0
LOS ANGELES,WEST HILLS,WEST HILLS HOSPITAL & MEDICAL CENTER,3.0
LOS ANGELES,WHITTIER,PIH HEALTH HOSPITAL-WHITTIER,5.0
LOS ANGELES,WHITTIER,WHITTIER HOSPITAL MEDICAL CENTER,3.0
LOS ANGELES,WOODLAND HILLS,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,4.0
MADERA,MADERA,MADERA COMMUNITY HOSPITAL,3.0
MADISON,HUNTSVILLE,HUNTSVILLE HOSPITAL,4.0
MADISON,HUNTSVILLE,CRESTWOOD MEDICAL CENTER,3.0
MARICOPA,CHANDLER,ARIZONA SPECIALTY HOSPITAL,5.0
MARICOPA,CHANDLER,CHANDLER REGIONAL MEDICAL CENTER,3.0
MARICOPA,GILBERT,BANNER GATEWAY MEDICAL CENTER,4.0
MARICOPA,GILBERT,MERCY GILBERT MEDICAL CENTER,4.0
MARICOPA,GLENDALE,ABRAZO ARROWHEAD CAMPUS,3.0
MARICOPA,GLENDALE,BANNER THUNDERBIRD MEDICAL CENTER,3.0
MARICOPA,GOODYEAR,ABRAZO WEST CAMPUS,3.0
MARICOPA,MESA,ARIZONA SPINE AND JOINT HOSPITAL,5.0
MARICOPA,MESA,BANNER HEART HOSPITAL,4.0
MARICOPA,MESA,BANNER BAYWOOD MEDICAL CENTER,3.0
MARICOPA,MESA,BANNER DESERT MEDICAL CENTER,3.0
MARICOPA,MESA,"MOUNTAIN VISTA MEDICAL CENTER, LP",2.0
MARICOPA,PHOENIX,MAYO CLINIC HOSPITAL,5.0
MARICOPA,PHOENIX,O.A.S.I.S. HOSPITAL,5.0
MARICOPA,PHOENIX,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,4.0
MARICOPA,PHOENIX,BANNER ESTRELLA MEDICAL CENTER,4.0
MARICOPA,PHOENIX,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",4.0
MARICOPA,PHOENIX,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,4.0
MARICOPA,PHOENIX,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,4.0
MARICOPA,PHOENIX,ABRAZO SCOTTSDALE CAMPUS,3.0
MARICOPA,PHOENIX,HONORHEALTH DEER VALLEY MEDICAL CENTER,3.0
MARICOPA,PHOENIX,MARICOPA MEDICAL CENTER,3.0
MARICOPA,PHOENIX,ABRAZO CENTRAL CAMPUS,2.0
MARICOPA,PHOENIX,ST LUKE'S MEDICAL CENTER,2.0
MARICOPA,SCOTTSDALE,SCOTTSDALE SHEA MEDICAL CENTER,4.0
MARICOPA,SCOTTSDALE,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,4.0
MARICOPA,SCOTTSDALE,SCOTTSDALE OSBORN MEDICAL CENTER,3.0
MARICOPA,SUN CITY,BANNER BOSWELL MEDICAL CENTER,3.0
MARICOPA,SUN CITY WEST,BANNER DEL E. WEBB MEDICAL CENTER,3.0
MARICOPA,WICKENBURG,WICKENBURG COMMUNITY HOSPITAL,4.0
MARIN,GREENBRAE,MARIN GENERAL HOSPITAL,3.0
MARIN,NOVATO,NOVATO COMMUNITY HOSPITAL,4.0
MARIN,SAN RAFAEL,KAISER FOUNDATION HOSPITAL,4.0
MARION,HAMILTON,MARION REGIONAL MEDICAL CENTER,5.0
MARSHALL,BOAZ,MARSHALL MEDICAL CENTER SOUTH,3.0
MATANUSKA-SUSITNA,PALMER,MAT-SU REGIONAL MEDICAL CENTER,3.0
MENDOCINO,FORT BRAGG,MENDOCINO COAST DISTRICT HOSPITAL,2.0
MENDOCINO,UKIAH,ADVENTIST HEALTH UKIAH VALLEY,3.0
MENDOCINO,WILLITS,ADVENTIST HEALTH HOWARD MEMORIAL,5.0
MERCED,LOS BANOS,MEMORIAL HOSPITAL LOS BANOS,4.0
MERCED,MERCED,MERCY MEDICAL CENTER,3.0
MESA,GRAND JUNCTION,ST MARYS  MEDICAL CENTER,4.0
MESA,GRAND JUNCTION,COMMUNITY HOSPITAL,3.0
MISSISSIPPI,BLYTHEVILLE,GREAT RIVER MEDICAL CENTER,3.0
MOBILE,MOBILE,MOBILE INFIRMARY MEDICAL CENTER,4.0
MOBILE,MOBILE,SPRINGHILL MEMORIAL HOSPITAL,4.0
MOBILE,MOBILE,PROVIDENCE HOSPITAL,3.0
MOBILE,MOBILE,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,3.0
MOFFAT,CRAIG,"MEMORIAL HOSPITAL, THE",4.0
MOHAVE,BULLHEAD CITY,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2.0
MOHAVE,FORT MOHAVE,VALLEY VIEW MEDICAL CENTER,3.0
MOHAVE,KINGMAN,KINGMAN REGIONAL MEDICAL CENTER,3.0
MOHAVE,LAKE HAVASU CITY,HAVASU REGIONAL MEDICAL CENTER,3.0
MONO,MAMMOTH LAKES,MAMMOTH HOSPITAL,5.0
MONROE,MONROEVILLE,MONROE COUNTY HOSPITAL,4.0
MONTEREY,MONTEREY,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,4.0
MONTEREY,SALINAS,SALINAS VALLEY MEMORIAL HOSPITAL,4.0
MONTEREY,SALINAS,NATIVIDAD MEDICAL CENTER,3.0
MONTEZUMA,CORTEZ,SOUTHWEST MEMORIAL HOSPITAL,3.0
MONTGOMERY,MONTGOMERY,BAPTIST MEDICAL CENTER EAST,4.0
MONTGOMERY,MONTGOMERY,BAPTIST MEDICAL CENTER SOUTH,3.0
MONTGOMERY,MONTGOMERY,JACKSON HOSPITAL & CLINIC INC,3.0
MONTROSE,MONTROSE,MONTROSE MEMORIAL HOSPITAL,5.0
MORGAN,DECATUR,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,3.0
MORGAN,FORT MORGAN,COLORADO PLAINS MEDICAL CENTER,3.0
NAPA,NAPA,QUEEN OF THE VALLEY MEDICAL CENTER,3.0
NAPA,SAINT HELENA,ADVENTIST HEALTH ST HELENA,3.0
NAVAJO,SHOW LOW,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,4.0
NAVAJO,WINSLOW,LITTLE COLORADO MEDICAL CENTER,3.0
NEVADA,GRASS VALLEY,SIERRA NEVADA MEMORIAL HOSPITAL,3.0
NEVADA,TRUCKEE,TAHOE FOREST HOSPITAL,5.0
NEW HAVEN,MERIDEN,MIDSTATE MEDICAL CENTER,4.0
NEW HAVEN,WATERBURY,SAINT MARY'S HOSPITAL,3.0
NEW HAVEN,WATERBURY,WATERBURY HOSPITAL,2.0
NEW LONDON,NEW LONDON,LAWRENCE & MEMORIAL HOSPITAL,3.0
ORANGE,ANAHEIM,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE,4.0
ORANGE,ANAHEIM,AHMC ANAHEIM REGIONAL MEDICAL CENTER,3.0
ORANGE,ANAHEIM,ANAHEIM GLOBAL MEDICAL CENTER,2.0
ORANGE,ANAHEIM,WEST ANAHEIM MEDICAL CENTER,2.0
ORANGE,FOUNTAIN VALLEY,ORANGE COAST MEMORIAL MEDICAL CENTER,4.0
